UniProt,Keywords
O35913,"['Cell membrane', 'Disulfide bond', 'Glycoprotein', 'Ion transport', 'Membrane', 'Phosphoprotein', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Transport']"
P25101,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Disease variant', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Hypotrichosis', 'Membrane', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Signal', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P41145,"['3D-structure', 'Alternative splicing', 'Behavior', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P30542,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P20853,"['Endoplasmic reticulum', 'Heme', 'Iron', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'Oxidoreductase', 'Reference proteome']"
Q16539,"['3D-structure', 'Acetylation', 'Alternative splicing', 'Apoptosis', 'ATP-binding', 'Cytoplasm', 'Direct protein sequencing', 'Kinase', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Serine/threonine-protein kinase', 'Stress response', 'Transcription', 'Transcription regulation', 'Transferase', 'Ubl conjugation']"
P24903,"['Alternative splicing', 'Endoplasmic reticulum', 'Heme', 'Iron', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'Oxidoreductase', 'Reference proteome']"
P35372,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Cell projection', 'Cytoplasm', 'Disulfide bond', 'Endosome', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix', 'Ubl conjugation']"
P08183,"['3D-structure', 'Alternative splicing', 'ATP-binding', 'Cell membrane', 'Cytoplasm', 'Glycoprotein', 'Lipid transport', 'Membrane', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Repeat', 'Translocase', 'Transmembrane', 'Transmembrane helix', 'Transport']"
Q14994,"['3D-structure', 'Activator', 'Alternative splicing', 'Cytoplasm', 'Cytoskeleton', 'DNA-binding', 'Metal-binding', 'Nucleus', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Transcription', 'Transcription regulation', 'Zinc', 'Zinc-finger']"
Q5TCH4,"['Alternative splicing', 'Endoplasmic reticulum', 'Heme', 'Iron', 'Lipid metabolism', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'NADP', 'Oxidoreductase', 'Phosphoprotein', 'Reference proteome']"
P32238,"['3D-structure', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P28564,"['Behavior', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
O75469,"['3D-structure', 'Activator', 'Alternative splicing', 'DNA-binding', 'Metal-binding', 'Nucleus', 'Receptor', 'Reference proteome', 'Transcription', 'Transcription regulation', 'Zinc', 'Zinc-finger']"
P78329,"['Alternative splicing', 'Direct protein sequencing', 'Endoplasmic reticulum', 'Fatty acid metabolism', 'Heme', 'Iron', 'Lipid metabolism', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'Oxidoreductase', 'Reference proteome']"
O70528,"['Alternative splicing', 'Cell membrane', 'Disulfide bond', 'Endosome', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P20309,"['3D-structure', 'Cell membrane', 'Disulfide bond', 'Endoplasmic reticulum', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Phosphoprotein', 'Postsynaptic cell membrane', 'Receptor', 'Reference proteome', 'Synapse', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P41143,"['3D-structure', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix', 'Ubl conjugation']"
O15245,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Glycoprotein', 'Ion transport', 'Membrane', 'Phosphoprotein', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Transport']"
P31645,"['3D-structure', 'Alternative splicing', 'Antiport', 'Cell junction', 'Cell membrane', 'Cell projection', 'Disulfide bond', 'Endosome', 'Glycoprotein', 'Membrane', 'Metal-binding', 'Neurotransmitter transport', 'Phosphoprotein', 'Reference proteome', 'Sodium', 'Synapse', 'Transmembrane', 'Transmembrane helix', 'Transport']"
Q02928,"['Alternative splicing', 'Direct protein sequencing', 'Endoplasmic reticulum', 'Fatty acid metabolism', 'Heme', 'Iron', 'Lipid metabolism', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'NADP', 'Oxidoreductase', 'Phosphoprotein', 'Reference proteome']"
P24462,"['3D-structure', 'Alternative splicing', 'Direct protein sequencing', 'Endoplasmic reticulum', 'Heme', 'Iron', 'Lipid biosynthesis', 'Lipid metabolism', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'Oxidoreductase', 'Reference proteome', 'Steroid biosynthesis']"
P08588,"['3D-structure', 'Cell membrane', 'Disulfide bond', 'Endosome', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
Q96SQ9,"['Alternative splicing', 'Endoplasmic reticulum', 'Fatty acid metabolism', 'Heme', 'Iron', 'Isomerase', 'Lipid metabolism', 'Lyase', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'Oxidoreductase', 'Reference proteome']"
P30411,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Direct protein sequencing', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P35462,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Receptor', 'Reference proteome', 'Schizophrenia', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P08104,"['3D-structure', 'Cell membrane', 'Disulfide bond', 'Glycoprotein', 'Ion channel', 'Ion transport', 'Membrane', 'Phosphoprotein', 'Reference proteome', 'Repeat', 'Sodium', 'Sodium channel', 'Sodium transport', 'Transmembrane', 'Transmembrane helix', 'Transport', 'Ubl conjugation', 'Voltage-gated channel']"
P13945,"['Cell membrane', 'Diabetes mellitus', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Obesity', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
O95342,"['3D-structure', 'ATP-binding', 'Cell membrane', 'Disease variant', 'Endosome', 'Glycoprotein', 'Intrahepatic cholestasis', 'Lipid transport', 'Membrane', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Repeat', 'Translocase', 'Transmembrane', 'Transmembrane helix', 'Transport', 'Ubl conjugation']"
O35627,"['3D-structure', 'Activator', 'Alternative splicing', 'Cytoplasm', 'Cytoskeleton', 'DNA-binding', 'Metal-binding', 'Nucleus', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Transcription', 'Transcription regulation', 'Zinc', 'Zinc-finger']"
P32241,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Receptor', 'Reference proteome', 'Signal', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P33527,"['3D-structure', 'Alternative splicing', 'ATP-binding', 'Cell membrane', 'Deafness', 'Glycoprotein', 'Hydrolase', 'Lipid transport', 'Membrane', 'Non-syndromic deafness', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Repeat', 'Translocase', 'Transmembrane', 'Transmembrane helix', 'Transport']"
P24524,"['Cell membrane', 'Cell projection', 'Chloride', 'Chloride channel', 'Disulfide bond', 'Glycoprotein', 'Ion channel', 'Ion transport', 'Ligand-gated ion channel', 'Membrane', 'Metal-binding', 'Phosphoprotein', 'Postsynaptic cell membrane', 'Receptor', 'Reference proteome', 'Signal', 'Synapse', 'Transmembrane', 'Transmembrane helix', 'Transport', 'Zinc']"
Q08209,"['3D-structure', 'Acetylation', 'Alternative splicing', 'Calmodulin-binding', 'Cell membrane', 'Cell projection', 'Craniosynostosis', 'Cytoplasm', 'Disease variant', 'Dwarfism', 'Epilepsy', 'Hydrolase', 'Intellectual disability', 'Iron', 'Membrane', 'Metal-binding', 'Nitration', 'Phosphoprotein', 'Protein phosphatase', 'Reference proteome', 'Synapse', 'Zinc']"
P25024,"['3D-structure', 'Cell membrane', 'Chemotaxis', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P0DMS8,"['Alternative splicing', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P35498,"['3D-structure', 'Alternative splicing', 'Autism', 'Autism spectrum disorder', 'Cell membrane', 'Disease variant', 'Disulfide bond', 'Epilepsy', 'Glycoprotein', 'Ion channel', 'Ion transport', 'Membrane', 'Phosphoprotein', 'Reference proteome', 'Repeat', 'Sodium', 'Sodium channel', 'Sodium transport', 'Transmembrane', 'Transmembrane helix', 'Transport', 'Voltage-gated channel']"
P33032,"['3D-structure', 'Cell membrane', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P25100,"['Cell membrane', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P29466,"['3D-structure', 'Alternative splicing', 'Apoptosis', 'Cell membrane', 'Cytoplasm', 'Direct protein sequencing', 'Hydrolase', 'Isopeptide bond', 'Membrane', 'Phosphoprotein', 'Protease', 'Reference proteome', 'Thiol protease', 'Ubl conjugation', 'Zymogen']"
P23975,"['Alternative splicing', 'Cell membrane', 'Disease variant', 'Disulfide bond', 'Glycoprotein', 'Membrane', 'Metal-binding', 'Neurotransmitter transport', 'Reference proteome', 'Sodium', 'Symport', 'Transmembrane', 'Transmembrane helix', 'Transport']"
Q96QA9,"['ATP-binding', 'Membrane', 'Nucleotide-binding', 'Transmembrane', 'Transmembrane helix', 'Transport']"
P05177,"['3D-structure', 'Direct protein sequencing', 'Endoplasmic reticulum', 'Fatty acid metabolism', 'Glycoprotein', 'Heme', 'Iron', 'Lipid metabolism', 'Lyase', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'Oxidoreductase', 'Reference proteome', 'Steroid metabolism', 'Sterol metabolism']"
P13584,"['Alternative splicing', 'Endoplasmic reticulum', 'Heme', 'Iron', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'Oxidoreductase', 'Phosphoprotein', 'Reference proteome']"
P28482,"['3D-structure', 'Acetylation', 'Alternative splicing', 'Apoptosis', 'ATP-binding', 'Cell cycle', 'Cell junction', 'Cytoplasm', 'Cytoskeleton', 'Direct protein sequencing', 'Disease variant', 'DNA-binding', 'Host-virus interaction', 'Kinase', 'Membrane', 'Nucleotide-binding', 'Nucleus', 'Phosphoprotein', 'Reference proteome', 'Repressor', 'Serine/threonine-protein kinase', 'Transcription', 'Transcription regulation', 'Transferase', 'Ubl conjugation']"
P08246,"['3D-structure', 'Cytoplasmic vesicle', 'Direct protein sequencing', 'Disease variant', 'Disulfide bond', 'Glycoprotein', 'Hydrolase', 'Protease', 'Reference proteome', 'Serine protease', 'Signal', 'Zymogen']"
P08684,"['3D-structure', 'Direct protein sequencing', 'Disease variant', 'Endoplasmic reticulum', 'Fatty acid metabolism', 'Heme', 'Iron', 'Lipid biosynthesis', 'Lipid metabolism', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'Oxidoreductase', 'Reference proteome', 'Steroid biosynthesis', 'Steroid metabolism', 'Sterol metabolism', 'Transmembrane', 'Transmembrane helix', 'Ubl conjugation']"
P24557,"['Alternative splicing', 'Direct protein sequencing', 'Disease variant', 'Endoplasmic reticulum', 'Fatty acid biosynthesis', 'Fatty acid metabolism', 'Heme', 'Iron', 'Isomerase', 'Lipid biosynthesis', 'Lipid metabolism', 'Lyase', 'Membrane', 'Metal-binding', 'Monooxygenase', 'Oxidoreductase', 'Prostaglandin biosynthesis', 'Prostaglandin metabolism', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']"
P21917,"['3D-structure', 'Biological rhythms', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Metal-binding', 'Palmitate', 'Receptor', 'Reference proteome', 'Repeat', 'Sodium', 'Transducer', 'Transmembrane', 'Transmembrane helix', 'Ubl conjugation']"
P25103,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
Q08477,"['Alternative promoter usage', 'Alternative splicing', 'Endoplasmic reticulum', 'Fatty acid metabolism', 'Heme', 'Iron', 'Lipid metabolism', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'Oxidoreductase', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']"
P11509,"['3D-structure', 'Direct protein sequencing', 'Endoplasmic reticulum', 'Heme', 'Iron', 'Lipid metabolism', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'NADP', 'Oxidoreductase', 'Reference proteome']"
Q9HB55,"['Alternative splicing', 'Endoplasmic reticulum', 'Heme', 'Iron', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'Oxidoreductase', 'Reference proteome']"
P20813,"['3D-structure', 'Alternative splicing', 'Endoplasmic reticulum', 'Heme', 'Iron', 'Lipid metabolism', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'NADP', 'Oxidoreductase', 'Phosphoprotein', 'Reference proteome']"
Q9NY46,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Disease variant', 'Disulfide bond', 'Epilepsy', 'Glycoprotein', 'Ion channel', 'Ion transport', 'Membrane', 'Phosphoprotein', 'Reference proteome', 'Repeat', 'Sodium', 'Sodium channel', 'Sodium transport', 'Transmembrane', 'Transmembrane helix', 'Transport', 'Ubl conjugation', 'Voltage-gated channel']"
P51589,"['Direct protein sequencing', 'Endoplasmic reticulum', 'Fatty acid metabolism', 'Heme', 'Iron', 'Isomerase', 'Lipid metabolism', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'Oxidoreductase', 'Reference proteome']"
P14780,"['3D-structure', 'Calcium', 'Collagen degradation', 'Direct protein sequencing', 'Disulfide bond', 'Extracellular matrix', 'Glycoprotein', 'Hydrolase', 'Metal-binding', 'Metalloprotease', 'Protease', 'Reference proteome', 'Repeat', 'Secreted', 'Signal', 'Zinc', 'Zymogen']"
P15823,"['Cell membrane', 'Cytoplasm', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Nucleus', 'Palmitate', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P07943,"['Acetylation', 'Cytoplasm', 'Direct protein sequencing', 'Lipid metabolism', 'NADP', 'Oxidoreductase', 'Phosphoprotein', 'Reference proteome']"
Q6PSM0,"['ATP-binding', 'Cell membrane', 'Membrane', 'Nucleotide-binding', 'Transmembrane', 'Transmembrane helix']"
P08173,"['3D-structure', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Phosphoprotein', 'Postsynaptic cell membrane', 'Receptor', 'Reference proteome', 'Synapse', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P08913,"['3D-structure', 'Cell membrane', 'Direct protein sequencing', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Methylation', 'Palmitate', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P30988,"['3D-structure', 'Alternative promoter usage', 'Alternative splicing', 'Cell membrane', 'Direct protein sequencing', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Receptor', 'Reference proteome', 'Signal', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
O54915,"['Activator', 'Alternative splicing', 'DNA-binding', 'Metal-binding', 'Nucleus', 'Receptor', 'Reference proteome', 'Transcription', 'Transcription regulation', 'Zinc', 'Zinc-finger']"
O88269,"['ATP-binding', 'Cell membrane', 'Glycoprotein', 'Membrane', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Repeat', 'Translocase', 'Transmembrane', 'Transmembrane helix', 'Transport']"
P43140,"['Cell membrane', 'Cytoplasm', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Nucleus', 'Palmitate', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P35367,"['3D-structure', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
O94956,"['Alternative promoter usage', 'Alternative splicing', 'Cell membrane', 'Disulfide bond', 'Glycoprotein', 'Ion transport', 'Membrane', 'Phosphoprotein', 'Reference proteome', 'Transmembrane', 'Transmembrane helix', 'Transport']"
P14416,"['3D-structure', 'Alternative splicing', 'Cell membrane', 'Disease variant', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Golgi apparatus', 'Lipoprotein', 'Membrane', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P03372,"['3D-structure', 'Activator', 'Alternative promoter usage', 'Alternative splicing', 'Cell membrane', 'Cytoplasm', 'Direct protein sequencing', 'Disease variant', 'DNA-binding', 'Glycoprotein', 'Golgi apparatus', 'Lipid-binding', 'Lipoprotein', 'Membrane', 'Metal-binding', 'Methylation', 'Nucleus', 'Palmitate', 'Phosphoprotein', 'Receptor', 'Reference proteome', 'Steroid-binding', 'Transcription', 'Transcription regulation', 'Transmembrane', 'Ubl conjugation', 'Zinc', 'Zinc-finger']"
P29476,"['3D-structure', 'Alternative splicing', 'Calmodulin-binding', 'Cell membrane', 'Cell projection', 'Direct protein sequencing', 'FAD', 'Flavoprotein', 'FMN', 'Heme', 'Iron', 'Membrane', 'Metal-binding', 'NADP', 'Oxidoreductase', 'Phosphoprotein', 'Reference proteome', 'Synapse', 'Ubl conjugation']"
P41968,"['3D-structure', 'Biological rhythms', 'Cell membrane', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P32245,"['3D-structure', 'Cell membrane', 'Disease variant', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Lipoprotein', 'Membrane', 'Obesity', 'Palmitate', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
Q99720,"['3D-structure', 'Alternative splicing', 'Amyotrophic lateral sclerosis', 'Cell junction', 'Cell membrane', 'Cell projection', 'Cytoplasmic vesicle', 'Direct protein sequencing', 'Disease variant', 'Endoplasmic reticulum', 'Lipid droplet', 'Lipid transport', 'Membrane', 'Neurodegeneration', 'Nucleus', 'Postsynaptic cell membrane', 'Receptor', 'Reference proteome', 'Synapse', 'Transmembrane', 'Transmembrane helix', 'Transport']"
O88563,"['ATP-binding', 'Cell membrane', 'Glycoprotein', 'Lipid transport', 'Membrane', 'Nucleotide-binding', 'Phosphoprotein', 'Reference proteome', 'Repeat', 'Translocase', 'Transmembrane', 'Transmembrane helix', 'Transport']"
P10632,"['3D-structure', 'Alternative splicing', 'Direct protein sequencing', 'Endoplasmic reticulum', 'Heme', 'Iron', 'Lipid metabolism', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'Oxidoreductase', 'Phosphoprotein', 'Reference proteome', 'Steroid metabolism']"
P20815,"['3D-structure', 'Alternative splicing', 'Endoplasmic reticulum', 'Heme', 'Iron', 'Lipid metabolism', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'Oxidoreductase', 'Reference proteome', 'Steroid metabolism']"
O75496,"['3D-structure', 'Acetylation', 'Cell cycle', 'Coiled coil', 'Cytoplasm', 'Disease variant', 'DNA replication inhibitor', 'Dwarfism', 'Nucleus', 'Phosphoprotein', 'Reference proteome']"
P06239,"['3D-structure', 'Alternative splicing', 'ATP-binding', 'Cell membrane', 'Chromosomal rearrangement', 'Cytoplasm', 'Disease variant', 'Host-virus interaction', 'Kinase', 'Lipoprotein', 'Membrane', 'Myristate', 'Nucleotide-binding', 'Palmitate', 'Phosphoprotein', 'Proto-oncogene', 'Reference proteome', 'SH2 domain', 'SH3 domain', 'Transferase', 'Tyrosine-protein kinase']"
P18825,"['3D-structure', 'Cell membrane', 'Disulfide bond', 'G-protein coupled receptor', 'Glycoprotein', 'Membrane', 'Receptor', 'Reference proteome', 'Transducer', 'Transmembrane', 'Transmembrane helix']"
P98187,"['Endoplasmic reticulum', 'Fatty acid metabolism', 'Heme', 'Iron', 'Lipid metabolism', 'Membrane', 'Metal-binding', 'Microsome', 'Monooxygenase', 'Oxidoreductase', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']"
P05181,"['3D-structure', 'Direct protein sequencing', 'Endoplasmic reticulum', 'Fatty acid metabolism', 'Heme', 'Iron', 'Lipid metabolism', 'Membrane', 'Metal-binding', 'Microsome', 'Mitochondrion', 'Mitochondrion inner membrane', 'Monooxygenase', 'NADP', 'Oxidoreductase', 'Reference proteome']"
